"intercept","eqid","statid","M","VS","Rrup","Rjb","eq","stat","M_stat","VS_gmean"
1,54,455,5.42,387.04,11.4,0.79,9,76,5.42,387.04
1,54,456,5.42,550.88,14.12,7.94,9,77,5.42,550.88
1,54,447,5.42,377.51,18.28,14.31,9,73,5.61,377.51
1,54,446,5.42,384.47,22.22,19.09,9,74,5.61,384.47
1,55,203,5.19,724.89,17.26,12.24,10,78,5.74,724.891999988964
1,55,204,5.19,617.78,12.28,5.85,10,79,5.19,617.78
1,55,231,5.19,360.45,17.52,13.8,10,80,5.8425,360.45
1,55,206,5.19,336.07,40.67,39.21,10,81,5.19,336.07
1,55,205,5.19,329,21.32,18.39,10,82,5.19,329
1,56,429,6.06,382.12,6.63,1.1,11,83,5.1875,382.109999869148
1,56,435,6.06,537.16,15.46,12.56,11,84,6.06,537.16
1,56,436,6.06,346.82,4.67,4.48,11,85,6.06,346.82
1,64,240,6.33,471.53,14.37,13.8,12,45,6.43,471.53
1,64,247,6.33,242.05,18.96,18.53,12,46,6.68666666666667,242.05
1,64,246,6.33,259.59,39.3,39.1,12,86,6.33,259.59
1,64,249,6.33,242.05,7.27,6.07,12,87,6.33,242.05
1,73,216,5.9,208.71,15.41,15.28,13,42,6.296,208.71
1,73,263,5.9,212,15.29,15.16,13,65,6.1375,212
1,73,207,5.9,348.69,16.66,16.54,13,66,6.32333333333333,348.69
1,73,218,5.9,191.14,7.83,7.57,13,88,4.69285714285714,191.111427717186
1,73,94,5.9,362.38,19.37,19.26,13,68,6.32333333333333,362.38
1,73,264,5.9,193.67,6.5,6.18,13,70,6.5425,193.67
1,76,411,6.36,274.73,24.02,23.78,14,89,6.36,274.73
1,76,132,6.36,359.03,55.77,55.05,14,90,6.18,359.03
1,76,404,6.36,326.64,43.68,42.76,14,91,6.18,326.64
1,76,373,6.36,522.74,42.92,41.99,14,92,6.18,522.74
1,76,126,6.36,173.02,44.72,43.83,14,93,5.135,173.009999710999
1,76,402,6.36,397.36,40.98,40.01,14,94,6.18,397.36
1,76,376,6.36,230.57,45.7,44.82,14,95,5.45666666666667,230.579999566324
1,76,378,6.36,283.38,47.57,46.73,14,96,6.18,283.38
1,76,377,6.36,410.4,46.35,45.49,14,97,6.18,410.4
1,76,128,6.36,236.59,48.7,47.88,14,98,4.986,236.59599994928
1,76,403,6.36,251.57,50.2,49.4,14,99,5.45666666666667,251.579999602523
1,76,130,6.36,256.82,51.75,50.98,14,100,6.36,256.82
1,76,374,6.36,178.27,41.99,41.04,14,101,5.135,178.284999368988
1,76,396,6.36,372.73,31.62,30.34,14,102,6.36,372.73
1,76,405,6.36,541.73,28.52,27.1,14,103,6.18,541.73
1,76,370,6.36,265.21,29.34,27.96,14,104,4.986,265.203999954752
1,76,408,6.36,246.07,29.48,28.11,14,105,5.51,246.079999593639
1,76,397,6.36,307.59,29.38,28,14,106,6.18,307.59
1,76,409,6.36,384.26,27.67,26.2,14,107,5.265,384.279999479546
1,76,379,6.36,294.26,38.95,37.92,14,108,6.36,294.26
1,76,375,6.36,211.74,37.22,36.14,14,109,6.18,211.74
1,76,380,6.36,220.75,34.59,33.42,14,110,5.135,220.774998584532
1,76,406,6.36,266.65,32.87,31.64,14,111,6.18,266.65
1,76,386,6.36,297.46,31.21,29.91,14,112,5.51,297.473332735725
1,76,401,6.36,308.84,29.94,28.58,14,113,5.45666666666667,308.826666090995
1,76,395,6.36,372.26,31.71,30.43,14,114,6.18,372.26
1,76,381,6.36,214.43,36.15,35.04,14,115,5.51,214.419999533611
1,76,384,6.36,360.92,33.07,31.85,14,116,6.18,360.92
1,76,382,6.36,290.5,37.02,35.93,14,117,6.18,290.5
1,76,392,6.36,450.61,30.07,28.72,14,118,6.18,450.61
1,76,383,6.36,510.92,39.12,38.1,14,119,6.18,510.92
1,76,388,6.36,421.2,41.1,40.13,14,120,6.18,421.2
1,76,389,6.36,441.37,43.64,42.72,14,121,6.18,441.37
1,76,387,6.36,232.44,47.88,47.04,14,122,5.135,232.419999139489
1,76,385,6.36,566.33,36.4,35.29,14,123,6.18,566.33
1,76,390,6.36,565.08,34,32.81,14,124,6.18,565.08
1,76,391,6.36,492.43,31.58,30.3,14,125,6.36,492.43
1,76,407,6.36,381.27,26.38,24.83,14,126,6.18,381.27
1,76,400,6.36,284.21,29.12,27.72,14,127,6.18,284.21
1,76,399,6.36,438.74,30.35,29.01,14,128,5.135,438.719999544129
1,76,371,6.36,308.87,32.17,30.91,14,129,5.45666666666667,308.879999676257
1,76,398,6.36,386.19,34.45,33.28,14,130,6.18,386.19
1,76,394,6.36,392.24,40.92,39.94,14,131,6.18,392.24
1,76,156,6.36,257.38,8.41,7.69,14,132,6.36,257.38
1,76,410,6.36,648.09,27.46,25.98,14,133,6.18,648.09
1,87,704,6.88,279.97,83,83,15,134,6.88,279.97
1,87,941,6.88,279.97,84.8,84.8,15,135,6.88,279.97
1,90,483,6.19,219.8,51.69,51.68,16,136,6.19,219.8
1,90,445,6.19,239.69,24.49,24.48,16,137,6.56,239.69
1,90,184,6.19,488.77,3.26,3.22,16,138,6.56,488.77
1,90,417,6.19,288.62,39.08,39.08,16,139,6.37333333333333,288.62
1,90,442,6.19,462.24,23.24,23.23,16,140,5.80666666666667,462.226666282048
1,90,449,6.19,561.43,0.53,0.18,16,29,5.492,561.417999807629
1,90,482,6.19,116.35,53.89,53.89,16,141,6.56,116.35
1,90,444,6.19,367.57,31.34,31.34,16,72,5.848,367.57
1,90,416,6.19,729.65,14.84,14.83,16,142,5.58,729.662499678797
1,90,424,6.19,1428.14,14.91,14.9,16,30,6.28666666666667,1428.14
1,90,425,6.19,270.84,13.69,13.68,16,31,5.79,270.82999944612
1,90,426,6.19,349.85,13.02,13.01,16,32,5.37666666666667,349.866665872739
1,90,450,6.19,221.78,11.54,11.53,16,33,5.79,221.784999830922
1,90,451,6.19,663.31,9.87,9.85,16,34,5.612,663.307999987939
1,90,452,6.19,333.85,12.07,12.06,16,143,6.56,333.85
1,90,448,6.19,281.61,3.48,3.45,16,35,6.28666666666667,281.61
1,90,441,6.19,262.05,63.16,63.16,16,144,6.19,262.05
1,90,471,6.19,190.14,70.93,70.93,16,145,6.56,190.14
1,90,418,6.19,335.5,27.15,27.15,16,38,5.305,335.5
1,90,186,6.19,543.63,31.88,31.88,16,146,6.19,543.63
1,90,187,6.19,543.63,31.88,31.88,16,147,6.19,543.63
1,90,466,6.19,713.59,45.47,45.47,16,148,6.56,713.59
1,101,234,6.06,680.37,38.43,38.22,17,149,6.06,680.37
1,101,236,6.06,530.89,52.06,51.91,17,150,6.06,530.89
1,101,231,6.06,360.45,42.36,42.17,17,80,5.8425,360.45
1,101,225,6.06,376.91,7.92,6.84,17,151,6.12166666666667,376.91
1,101,114,6.06,274.98,52.41,52.26,17,152,6.06,274.98
1,101,229,6.06,425.17,27.5,27.21,17,153,6.06,425.17
1,101,267,6.06,359,6.82,0.99,17,154,6.826,359
1,101,221,6.06,388.63,14.24,12.79,17,155,6.50833333333333,388.63
1,101,272,6.06,328.09,34.71,34.48,17,13,5.78916666666667,328.092499971426
1,101,300,6.06,337.56,72.97,71.7,17,156,6.06,337.56
1,101,202,6.06,407.61,29.83,29.56,17,157,6.06,407.61
1,101,220,6.06,307.54,35.57,35.34,17,158,6.06,307.54
1,101,266,6.06,339.02,41.93,41.74,17,159,6.7325,339.02
1,101,298,6.06,379.32,26.88,23.2,17,160,6.50833333333333,379.32
1,101,299,6.06,331.02,35.36,32.65,17,161,6.06,331.02
1,101,223,6.06,396.41,12.03,3.62,17,162,5.67384615384615,396.406923050055
1,101,279,6.06,532.85,54.82,54.67,17,163,6.06,532.85
1,101,222,6.06,344.67,4.04,0,17,164,6.67,344.67
1,101,265,6.06,312.47,10.84,10.08,17,165,6.75,312.47
1,101,268,6.06,442.7,67.5,67.38,17,166,6.6,442.7
1,101,301,6.06,390.18,78.09,77.98,17,167,5.718,390.183999917989
1,101,275,6.06,389.95,64.95,64.83,17,168,5.76846153846154,389.969230010576
1,101,270,6.06,447.22,23.31,22.96,17,169,6.595,447.22
1,101,269,6.06,330.74,30.97,30.71,17,170,5.9575,330.729999546439
1,101,235,6.06,678.69,39.14,38.94,17,171,6.06,678.69
1,101,271,6.06,659.09,17.03,16.55,17,172,6.75,659.09
1,101,201,6.06,340.32,37.87,37.66,17,173,6.06,340.32
1,101,277,6.06,416.15,64.8,64.68,17,174,5.70625,416.168749296048
1,101,224,6.06,425.02,6.04,0,17,175,5.65,425.01749994853
1,101,280,6.06,537.95,49.09,48.92,17,176,6.26,537.95
1,101,281,6.06,287.87,38.22,38.01,17,177,6.06,287.87
1,102,430,5.77,370.94,24.33,24.25,18,178,5.98,370.94
1,102,432,5.77,303.47,23.47,23.38,18,179,5.98,303.47
1,102,437,5.77,585.12,15.13,14.99,18,180,5.98,585.12
1,102,439,5.77,456.83,24.45,24.37,18,181,5.98,456.83
1,102,438,5.77,316.19,6.39,6.07,18,182,5.52,316.193333298193
1,103,430,6.19,370.94,21.92,21.55,19,178,5.98,370.94
1,103,432,6.19,303.47,17.17,14.38,19,179,5.98,303.47
1,103,437,6.19,585.12,18.31,14.97,19,180,5.98,585.12
1,103,429,6.19,382.12,31.19,29.35,19,83,5.1875,382.109999869148
1,103,439,6.19,456.83,24.47,22.08,19,181,5.98,456.83
1,103,433,6.19,537.16,21.12,18.3,19,183,6.19,537.16
1,103,434,6.19,537.16,21.12,18.3,19,184,6.19,537.16
1,103,440,6.19,529.39,36.47,34.92,19,185,6.19,529.39
1,103,193,6.19,359.23,30.11,28.2,19,186,6.19,359.23
1,103,431,6.19,467.62,51.98,50.92,19,187,6.19,467.62
1,103,438,6.19,316.19,7.58,6.44,19,182,5.52,316.193333298193
1,113,342,5.99,549.75,14.66,1.67,20,188,6.60333333333333,549.75
1,113,339,5.99,375.16,19.52,8.72,20,189,6.24333333333333,375.16
1,113,581,5.99,269.29,29.6,25.81,20,190,6.65333333333333,269.29
1,113,585,5.99,367.53,17.42,4.53,20,191,6.65333333333333,367.53
1,113,315,5.99,297.71,36.97,32.56,20,192,6.1175,297.707499968509
1,113,563,5.99,544.68,16.72,4.34,20,193,6.65333333333333,544.68
1,113,586,5.99,267.13,17.79,10.31,20,194,6.65333333333333,267.13
1,113,523,5.99,545.66,29.9,25.91,20,195,6.34,545.66
1,113,522,5.99,355.81,32.7,29.09,20,196,6.34,355.81
1,113,556,5.99,550.11,28.5,22.5,20,197,6.65333333333333,550.11
1,113,580,5.99,322.75,23.42,18.39,20,198,6.65333333333333,322.75
1,113,116,5.99,437.5,23.99,19.11,20,199,5.99,437.5
1,113,117,5.99,437.5,24,19.12,20,200,5.99,437.5
1,113,521,5.99,320.57,26.34,20.37,20,201,6.635,320.57
1,113,547,5.99,403.72,54.74,52.76,20,202,6.635,403.72
1,113,548,5.99,267.49,48.96,45.98,20,203,6.34,267.49
1,113,552,5.99,325.6,48.18,44.88,20,204,6.34,325.6
1,113,71,5.99,235,26.82,22.57,20,10,6.3,235
1,113,538,5.99,305.14,33.19,29.85,20,205,6.34,305.14
1,113,574,5.99,160.58,30.03,26.3,20,206,6.34,160.58
1,113,322,5.99,421.05,64.96,62.56,20,207,5.92666666666667,421.066666006984
1,113,323,5.99,450.28,72.2,70.04,20,11,6.34166666666667,450.28
1,113,571,5.99,266.9,23.37,18.32,20,208,6.65333333333333,266.9
1,113,562,5.99,346.62,20.91,13.58,20,209,6.34,346.62
1,113,564,5.99,324.79,18.59,9.49,20,210,6.65333333333333,324.79
1,113,572,5.99,245.06,20.79,14.9,20,211,6.34,245.06
1,113,288,5.99,271.9,20.82,14.95,20,212,5.878,271.9
1,113,560,5.99,290.63,15.67,0.75,20,213,6.65333333333333,290.63
1,113,274,5.99,367.54,37.92,35.04,20,214,6.71,367.54
1,113,511,5.99,270.54,39.45,36.69,20,215,6.635,270.54
1,113,113,5.99,468.18,14.5,0.36,20,216,5.21666666666667,468.186666571739
1,113,558,5.99,371.07,22.82,14.68,20,217,6.65333333333333,371.07
1,113,559,5.99,362.31,22.11,13.67,20,218,6.65333333333333,362.31
1,113,567,5.99,337,17.39,9.6,20,219,6.65333333333333,337
1,113,272,5.99,328.09,103.9,102.88,20,13,5.78916666666667,328.092499971426
1,113,278,5.99,315.52,44.58,42.16,20,220,6.07333333333333,315.513333192468
1,113,285,5.99,316.02,25.86,21.41,20,221,6.65333333333333,316.02
1,113,290,5.99,301,23.29,18.23,20,222,6.165,301
1,113,318,5.99,297.07,25.94,21.51,20,223,5.79333333333333,297.079999663398
1,113,549,5.99,321.91,31.53,28,20,224,6.34,321.91
1,113,333,5.99,277.98,29.89,26.14,20,225,6.34,277.98
1,113,334,5.99,277.98,29.73,25.95,20,226,5.99,277.98
1,113,524,5.99,740.05,35.23,32.11,20,227,6.34,740.05
1,113,535,5.99,366.71,16.97,8.56,20,228,6.34,366.71
1,113,536,5.99,329.06,18.86,11.07,20,229,6.65333333333333,329.06
1,113,326,5.99,316.46,24.08,19.22,20,2,6.656,316.46
1,113,525,5.99,255,31.48,27.94,20,230,6.34,255
1,113,534,5.99,364.91,16.53,6,20,231,6.65333333333333,364.91
1,113,530,5.99,315.06,21.11,15.34,20,232,6.65333333333333,315.06
1,113,337,5.99,349.43,15.18,4.5,20,233,5.613,349.417999690911
1,113,531,5.99,285.28,20.48,14.46,20,234,6.65333333333333,285.28
1,113,584,5.99,308.71,24.99,20.35,20,235,6.34,308.71
1,113,532,5.99,241.41,22.17,16.77,20,236,6.635,241.41
1,113,526,5.99,1222.52,27.64,23.4,20,237,6.34,1222.52
1,113,289,5.99,230,37.05,34.1,20,238,5.99,230
1,113,573,5.99,344.72,24.54,19.8,20,239,4.76789473684211,344.704210429885
1,113,287,5.99,302.73,28.56,24.61,20,240,6.02333333333333,302.719999669654
1,113,286,5.99,282,33.68,30.4,20,241,5.99,282
1,113,555,5.99,411.55,26.04,19.28,20,242,6.65333333333333,411.55
1,113,568,5.99,338.27,20.28,14.17,20,243,6.65333333333333,338.27
1,113,566,5.99,339.52,17.75,10.24,20,244,6.65333333333333,339.52
1,113,320,5.99,425.34,71.75,69.59,20,15,6.25166666666667,425.33333307209
1,113,577,5.99,267.35,26.68,22.4,20,245,6.65333333333333,267.35
1,113,347,5.99,339.14,67.62,65.32,20,246,5.99,339.14
1,113,540,5.99,311.86,30.04,26.31,20,247,6.34,311.86
1,113,314,5.99,375.22,59.13,56.48,20,248,6.34,375.22
1,113,331,5.99,327.44,59.6,56.97,20,249,6.34,327.44
1,113,545,5.99,578.11,48.64,46.43,20,250,5.99,578.11
1,113,335,5.99,349.54,63.23,61.54,20,251,5.778,349.523999450673
1,113,546,5.99,436.53,62.07,60.35,20,252,5.99,436.53
1,113,557,5.99,569.84,36.79,32.36,20,253,5.99,569.84
1,113,325,5.99,341.58,74.69,72.62,20,254,6.235,341.58
1,113,336,5.99,680.37,22.73,14.5,20,255,6.09666666666667,680.37
1,113,518,5.99,326.47,33.11,28.37,20,256,6.34,326.47
1,113,324,5.99,269.14,52.2,49.18,20,257,5.746,269.12399928656
1,113,551,5.99,285.93,58.61,55.93,20,258,6.34,285.93
1,113,512,5.99,280.86,41.69,38.04,20,259,6.65333333333333,280.86
